Timestamp (s),Detected Number
319.1,55.1
319.90000000000003,55.2
320.70000000000005,55.2
321.5,55.2
322.3,55.3
323.1,55.3
324.0,55.3
325.3,55.3
326.1,55.3
326.90000000000003,55.3
327.70000000000005,55.3
328.5,55.3
329.3,55.3
330.1,55.3
330.90000000000003,55.3
331.70000000000005,55.3
332.5,55.0
333.3,55.0
334.1,55.0
334.90000000000003,55.0
335.8,55.0
336.6,55.0
337.40000000000003,55.0
338.20000000000005,55.0
339.0,55.2
339.8,55.2
340.6,55.2
341.40000000000003,55.2
342.3,55.0
343.1,55.0
343.90000000000003,55.0
344.70000000000005,55.0
345.5,55.0
346.3,55.0
347.20000000000005,55.0
348.00000000000006,55.0
348.8,55.0
349.70000000000005,55.0
350.50000000000006,55.0
351.3,55.0
352.1,55.0
353.00000000000006,55.2
353.8,55.2
354.6,55.2
355.50000000000006,55.2
356.3,55.2
357.1,55.2
357.90000000000003,55.2
358.8,55.2
359.6,55.2
360.40000000000003,55.2
361.3,55.2
362.1,55.2
362.90000000000003,55.2
363.8,55.2
364.6,55.2
365.40000000000003,55.2
366.3,55.0
367.1,55.0
368.00000000000006,55.0
368.8,55.0
369.6,55.1
370.50000000000006,55.1
371.3,54.9
372.20000000000005,54.9
373.00000000000006,54.9
373.90000000000003,54.9
374.8,54.9
375.6,54.9
376.50000000000006,55.4
377.3,55.4
378.20000000000005,55.4
379.00000000000006,55.4
379.90000000000003,55.4
380.70000000000005,55.4
381.6,55.4
382.40000000000003,55.4
383.3,55.4
384.1,55.0
385.00000000000006,55.0
385.90000000000003,55.5
386.8,55.5
387.6,55.3
388.50000000000006,55.3
389.3,55.3
390.20000000000005,55.3
391.1,55.3
392.00000000000006,55.3
392.8,55.3
393.70000000000005,55.3
394.50000000000006,55.3
395.40000000000003,55.3
396.3,55.3
397.1,55.3
398.00000000000006,55.4
398.90000000000003,55.4
399.70000000000005,55.4
400.6,55.4
401.50000000000006,55.4
402.40000000000003,55.4
403.20000000000005,55.4
404.1,55.4
405.00000000000006,55.4
405.90000000000003,55.4
406.70000000000005,55.4
407.6,55.4
408.50000000000006,55.4
409.40000000000003,55.4
410.20000000000005,55.4
411.1,55.4
412.00000000000006,55.4
412.90000000000003,55.3
413.8,55.3
414.6,55.3
415.50000000000006,55.3
416.40000000000003,55.3
417.3,55.4
418.20000000000005,55.4
419.1,55.4
420.00000000000006,55.4
420.8,55.4
421.70000000000005,55.4
422.6,55.4
423.50000000000006,55.4
424.40000000000003,55.4
425.3,55.4
426.20000000000005,55.4
427.1,55.3
428.00000000000006,55.3
428.90000000000003,55.3
429.8,55.3
430.70000000000005,55.3
431.6,55.3
432.50000000000006,55.3
433.40000000000003,55.3
434.3,55.3
435.20000000000005,55.3
436.1,55.3
437.00000000000006,55.3
437.90000000000003,55.3
438.8,55.3
439.8,55.3
440.70000000000005,55.3
441.6,55.3
442.50000000000006,55.3
443.40000000000003,55.3
444.3,55.3
445.20000000000005,55.3
446.1,55.3
447.00000000000006,55.3
447.90000000000003,55.3
448.90000000000003,55.1
449.8,55.1
450.70000000000005,55.2
451.6,55.2
452.50000000000006,55.2
453.40000000000003,55.2
454.3,55.2
455.3,55.3
456.20000000000005,55.3
457.1,55.2
458.00000000000006,55.2
458.90000000000003,55.2
459.90000000000003,55.2
460.8,55.2
461.70000000000005,55.2
462.6,55.2
463.6,55.3
464.50000000000006,55.3
465.40000000000003,55.3
466.3,55.3
467.3,55.3
468.20000000000005,55.3
469.1,55.3
470.00000000000006,55.3
471.00000000000006,55.3
471.90000000000003,55.3
472.8,55.3
473.8,55.3
474.70000000000005,55.3
475.6,55.3
476.6,55.2
477.50000000000006,55.2
478.40000000000003,55.2
479.40000000000003,55.2
480.3,55.2
481.20000000000005,55.2
482.20000000000005,55.2
483.1,55.2
484.1,55.2
485.00000000000006,55.2
485.90000000000003,55.2
486.90000000000003,55.2
487.80000000000007,55.2
488.80000000000007,55.2
489.70000000000005,55.2
490.70000000000005,55.2
491.6,55.2
492.6,55.4
493.50000000000006,54.0
494.40000000000003,54.0
495.40000000000003,54.0
496.30000000000007,55.4
497.30000000000007,55.4
498.20000000000005,55.4
499.20000000000005,55.4
500.20000000000005,55.4
501.1,55.4
502.1,55.5
503.00000000000006,55.5
504.00000000000006,55.5
504.90000000000003,55.5
505.90000000000003,55.5
506.80000000000007,55.4
507.80000000000007,55.4
508.80000000000007,55.0
509.70000000000005,55.0
510.70000000000005,55.4
511.6,55.4
512.6,55.4
513.6,55.4
514.5,55.6
515.5,55.6
516.5,55.5
517.4000000000001,55.4
518.4000000000001,55.0
519.4000000000001,55.0
520.3000000000001,55.5
521.3000000000001,55.5
522.3000000000001,55.5
523.2,55.5
524.2,55.5
525.2,55.5
526.1,55.5
527.1,55.4
528.1,55.4
529.1,55.4
530.0,55.4
531.0,55.4
532.0,55.4
533.0,55.4
533.9000000000001,55.5
534.9000000000001,55.6
535.9000000000001,55.6
536.9000000000001,55.6
537.9000000000001,55.4
538.8000000000001,55.4
539.8000000000001,55.6
540.8000000000001,55.6
541.8000000000001,55.4
542.8000000000001,55.4
543.8000000000001,55.4
544.7,55.4
545.7,55.4
546.7,55.4
547.7,55.4
548.7,55.4
549.7,55.4
550.7,55.4
551.7,55.4
552.6,55.3
553.6,55.3
554.6,55.4
555.6,55.4
556.6,55.4
557.6,55.4
558.6,55.4
559.6,55.5
560.6,55.5
561.6,55.5
562.6,55.5
563.6,55.5
564.6,55.4
565.6,54.0
566.6,55.4
567.6,55.4
568.6,55.4
569.6,55.4
570.6,55.4
571.6,55.3
572.6,55.5
573.6,55.5
574.6,55.5
575.7,55.5
576.7,55.5
577.7,55.5
578.7,55.5
579.7,55.5
580.7,55.0
581.7,55.0
582.7,55.0
583.7,55.4
584.7,55.4
585.8000000000001,55.4
586.8000000000001,55.4
587.8000000000001,55.4
588.8000000000001,55.2
589.8000000000001,55.2
590.8000000000001,55.2
591.9000000000001,55.2
592.9000000000001,55.2
593.9000000000001,55.4
594.9000000000001,55.4
595.9000000000001,55.2
597.0,55.2
598.0,55.2
599.0,55.2
600.0,55.2
601.0,55.2
602.1,55.2
603.1,55.2
604.1,55.2
605.2,55.5
606.2,55.5
607.2,55.5
608.2,55.5
609.3000000000001,55.5
610.3000000000001,55.5
611.3000000000001,55.5
612.4000000000001,55.5
613.4000000000001,55.5
614.4000000000001,55.6
615.5,55.6
616.5,55.7
617.5,55.7
618.6,55.7
619.6,55.7
620.7,55.7
621.7,55.7
622.7,55.7
623.8000000000001,55.7
624.8000000000001,55.7
625.9000000000001,55.7
626.9000000000001,55.7
627.9000000000001,55.5
629.0,55.5
630.0,55.5
631.1,55.5
632.1,55.5
633.1,55.5
634.2,55.6
635.2,55.6
636.3000000000001,55.5
637.3000000000001,55.6
638.4000000000001,55.6
639.5,55.6
640.5,55.6
641.6,55.6
642.6,55.6
643.7,55.6
644.7,55.6
645.8000000000001,55.6
646.8000000000001,55.6
647.9000000000001,55.6
648.9000000000001,55.6
650.0,55.6
651.0,55.6
652.1,55.6
653.2,55.6
654.2,55.5
655.3000000000001,55.5
656.4000000000001,55.6
657.4000000000001,55.6
658.5,55.6
659.5,55.6
660.6,55.6
661.7,55.6
662.7,55.6
663.8000000000001,55.4
664.9000000000001,55.4
665.9000000000001,55.4
667.0,55.5
668.1,55.5
669.1,55.5
670.2,55.5
671.3000000000001,55.5
672.3000000000001,55.4
673.4000000000001,55.4
674.5,55.5
675.6,55.5
676.6,55.5
677.7,55.5
678.8000000000001,55.5
679.9000000000001,55.5
680.9000000000001,55.0
682.0,55.6
683.1,55.5
684.2,55.5
685.3000000000001,55.5
686.3000000000001,55.5
687.4000000000001,55.5
688.5,55.5
689.6,55.5
690.7,55.6
691.7,55.6
692.8000000000001,55.4
693.9000000000001,55.5
695.0000000000001,55.5
696.1,55.5
697.2,55.5
698.2,55.5
699.3000000000001,55.0
700.4000000000001,55.0
701.5000000000001,55.0
702.6,55.4
703.7,55.4
704.8000000000001,55.4
705.9000000000001,55.4
707.0000000000001,55.4
